Temps,A,B,C,AB,ABA,ABAB,ABC,ABCB,CB,CBC,CBCB
17.5,0.602329,0.730609,1.49333,0.393446,0.22945,0.161563,0.0195804,0.012822,0.0327282,0.0323485,0.0116358
17.6,0.601582,0.728639,1.49119,0.393611,0.229571,0.161475,0.0198135,0.012975,0.0331818,0.0327996,0.0117785
17.7,0.600865,0.726686,1.48903,0.393761,0.229688,0.161381,0.0200483,0.0131289,0.0336393,0.033254,0.0119221
17.8,0.600179,0.724751,1.48686,0.393897,0.229801,0.161282,0.0202846,0.0132838,0.0341007,0.0337115,0.0120666
17.9,0.599523,0.722831,1.48467,0.39402,0.22991,0.161177,0.0205226,0.0134395,0.034566,0.0341723,0.0122121
18,0.598896,0.720927,1.48247,0.394129,0.230016,0.161066,0.0207622,0.0135961,0.0350353,0.0346363,0.0123585
18.1,0.598298,0.719039,1.48026,0.394225,0.230118,0.160951,0.0210035,0.0137536,0.0355085,0.0351035,0.0125058
18.2,0.597727,0.717164,1.47803,0.394309,0.230216,0.160829,0.0212464,0.013912,0.0359856,0.0355739,0.012654
18.3,0.597184,0.715304,1.47578,0.39438,0.230312,0.160703,0.021491,0.0140713,0.0364667,0.0360475,0.0128031
18.4,0.596666,0.713456,1.47352,0.394439,0.230404,0.160572,0.0217372,0.0142315,0.0369517,0.0365242,0.0129531
18.5,0.596175,0.711622,1.47125,0.394485,0.230492,0.160435,0.0219852,0.0143926,0.0374406,0.0370041,0.013104
18.6,0.595709,0.7098,1.46896,0.39452,0.230578,0.160294,0.0222348,0.0145546,0.0379336,0.0374871,0.0132558
18.7,0.595268,0.70799,1.46666,0.394544,0.23066,0.160148,0.0224862,0.0147174,0.0384305,0.0379732,0.0134085
18.8,0.59485,0.706191,1.46434,0.394556,0.23074,0.159997,0.0227393,0.0148812,0.0389313,0.0384625,0.0135621
18.9,0.594456,0.704403,1.46201,0.394558,0.230817,0.159841,0.0229942,0.0150458,0.0394361,0.0389548,0.0137165
19,0.594085,0.702626,1.45966,0.394549,0.230891,0.159681,0.0232508,0.0152112,0.0399449,0.0394502,0.0138717
19.1,0.593736,0.700858,1.4573,0.394529,0.230962,0.159517,0.0235092,0.0153776,0.0404577,0.0399487,0.0140279
